NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
463.4,625.2,523.5,409.7,580.0
438.3,601.8,576.3,609.1,520.0
517.4,626.1,562.3,627.3,920.0
535.5,568.8,572.0,595.7,460.0
455.3,449.8,437.7,528.8,520.0
568.5,455.5,472.0,504.1,480.0
553.9,626.9,586.2,580.9,340.0
440.2,590.0,497.9,460.0,380.0
395.6,545.0,493.2,434.0,320.0
389.9,492.7,466.7,540.4,340.0
456.4,568.7,617.3,609.6,360.0
501.1,641.5,567.0,544.5,660.0
411.0,650.1,634.6,811.2,620.0
426.7,398.1,477.5,428.9,360.0
476.3,593.3,475.8,555.4,380.0
523.5,656.1,581.1,525.1,680.0
373.9,553.8,431.9,466.5,360.0
661.0,682.7,581.4,751.9,900.0
543.1,623.3,604.8,392.2,620.0
494.8,561.6,590.0,469.0,340.0
447.9,661.0,643.6,694.4,580.0
480.5,552.8,454.0,490.0,460.0
503.2,542.6,509.4,476.4,360.0
538.8,589.6,531.3,448.9,600.0
460.1,543.9,483.8,482.5,300.0
525.4,624.2,547.8,519.3,360.0
490.2,626.8,488.9,469.5,340.0
385.3,512.9,474.7,380.1,560.0
494.2,577.4,495.5,543.0,460.0
395.8,473.8,490.8,435.4,360.0
406.4,508.6,441.5,477.9,300.0
465.8,419.3,419.7,449.7,620.0
376.1,585.2,528.4,654.6,520.0
458.7,588.9,415.2,400.9,460.0
626.9,614.8,571.2,463.7,700.0
568.4,578.6,644.2,705.6,580.0
482.4,588.4,489.1,452.4,600.0
513.9,665.7,608.6,632.0,580.0
435.9,623.0,569.0,582.7,420.0
461.6,646.3,572.6,545.6,280.0
429.7,595.9,499.6,724.1,600.0
611.8,671.6,637.6,674.7,920.0
446.7,497.1,533.1,453.3,460.0
459.8,538.5,560.6,549.5,500.0
586.7,501.8,459.5,633.7,640.0
421.7,506.2,417.7,427.8,520.0
434.9,477.6,578.6,614.3,720.0
475.6,630.3,614.4,566.3,540.0
627.6,677.8,605.3,733.0,960.0
408.2,409.0,413.4,421.3,260.0
631.9,633.9,633.0,698.0,640.0
549.0,654.1,615.0,728.6,640.0
392.8,571.0,471.6,520.9,360.0
423.4,594.3,453.5,443.7,440.0
413.5,490.8,451.7,457.3,280.0
527.9,590.9,596.5,518.8,500.0
742.6,716.3,638.4,842.0,920.0
588.9,578.0,580.1,559.3,640.0
423.3,461.9,482.2,526.4,360.0
387.4,637.0,600.6,437.7,540.0
561.6,538.9,417.3,501.9,560.0
481.4,598.0,473.5,553.2,0.0
423.3,487.0,473.6,459.3,460.0
601.5,682.8,614.8,573.4,720.0
482.4,609.3,560.5,677.2,620.0
492.7,611.1,554.8,566.6,720.0
397.9,400.6,526.9,390.6,0.0
576.0,664.9,637.8,378.0,920.0
388.2,629.4,529.7,555.5,360.0
503.0,640.7,568.0,393.8,540.0
445.5,555.0,452.0,408.2,360.0
429.9,456.8,464.9,392.3,340.0
376.3,491.6,509.5,507.6,480.0
476.7,517.8,513.5,423.0,340.0
412.8,521.1,535.1,673.1,640.0
677.9,676.9,560.9,758.4,840.0
530.3,633.7,604.8,501.2,580.0
456.5,413.9,408.7,419.1,360.0
380.4,480.4,427.1,419.9,460.0
505.5,601.6,480.9,509.4,280.0
533.9,607.2,573.3,558.3,360.0
607.0,582.7,558.5,698.7,700.0
398.8,542.7,499.7,446.0,480.0
445.9,620.3,573.9,568.3,400.0
397.2,562.1,507.1,532.3,520.0
626.4,658.4,623.6,595.1,880.0
429.8,409.8,339.2,435.5,360.0
505.2,580.0,498.1,431.6,500.0
490.4,685.8,610.9,637.7,760.0
417.4,535.6,523.4,535.1,560.0
466.2,522.2,463.3,478.0,380.0
639.6,683.5,663.5,729.2,560.0
424.8,464.7,478.3,513.6,500.0
558.8,618.6,444.4,408.9,620.0
427.3,437.7,463.9,443.3,360.0
541.6,634.0,589.0,686.2,640.0
592.8,623.1,603.9,636.4,880.0
559.1,638.7,625.3,550.5,560.0
461.3,576.0,523.8,587.1,440.0
458.1,639.2,559.5,522.9,540.0
577.6,643.7,618.2,789.7,680.0
373.8,526.3,497.6,621.7,420.0
428.4,491.8,474.5,516.9,360.0
438.9,417.4,488.8,426.4,320.0
512.2,555.7,537.6,520.7,720.0
385.9,433.5,426.8,381.0,0.0
505.8,458.3,573.1,499.4,760.0
572.4,456.6,437.5,431.7,580.0
493.1,417.6,531.5,491.0,540.0
398.3,504.6,464.0,411.0,380.0
611.4,645.6,540.1,719.4,940.0
678.9,685.0,650.3,797.0,820.0
420.4,676.1,600.8,584.9,640.0
547.8,532.3,446.7,434.4,560.0
573.0,606.5,562.2,537.0,640.0
479.9,531.9,472.8,489.4,600.0
633.3,696.2,634.4,710.4,460.0
540.7,564.6,413.1,469.8,440.0
567.0,617.0,591.8,458.2,720.0
405.8,434.1,435.5,439.4,0.0
513.7,584.9,523.9,485.9,560.0
408.8,575.0,482.5,516.9,540.0
427.7,611.1,594.0,680.1,680.0
532.7,622.3,577.9,531.0,680.0
443.8,586.6,542.0,510.9,500.0
588.8,622.8,575.2,745.7,820.0
563.5,520.7,503.1,685.6,500.0
721.9,775.0,724.0,868.5,800.0
454.9,549.2,383.4,462.0,400.0
581.3,637.1,549.8,430.7,480.0
558.3,674.7,637.2,704.1,800.0
424.6,615.7,489.2,576.8,400.0
488.9,526.3,530.9,391.6,360.0
471.4,448.6,477.0,418.7,280.0
559.1,663.9,622.1,616.2,800.0
385.6,595.0,463.7,445.1,580.0
531.6,630.1,582.0,579.5,560.0
475.0,462.5,491.7,488.4,340.0
454.2,605.6,586.7,487.7,660.0
544.8,523.9,507.2,522.3,640.0
466.8,554.8,455.7,483.7,560.0
515.4,574.4,580.8,652.9,480.0
558.2,553.8,511.5,505.0,600.0
662.5,681.2,617.3,711.8,820.0
399.3,582.0,483.2,549.5,600.0
381.9,445.1,447.9,440.0,340.0
498.0,571.4,478.9,483.4,560.0
482.2,620.3,539.4,543.3,320.0
388.7,495.4,449.5,601.8,280.0
612.0,651.3,614.9,623.5,560.0
516.0,606.4,548.9,666.5,560.0
536.8,546.6,389.1,405.0,0.0
405.9,463.7,493.6,387.0,520.0
431.0,590.4,365.8,395.6,560.0
508.3,615.7,519.9,418.6,220.0
514.5,616.6,539.2,452.2,340.0
465.3,523.2,517.7,553.1,520.0
578.1,634.9,556.2,713.5,480.0
486.5,643.9,507.0,608.1,560.0
484.1,561.8,498.1,589.4,380.0
563.9,433.8,590.8,719.0,880.0
502.1,597.0,572.8,603.6,780.0
564.9,587.9,557.7,494.5,680.0
496.1,536.3,523.6,492.1,540.0
521.1,625.4,623.8,495.3,580.0
489.1,574.0,482.7,506.7,460.0
408.8,620.1,517.4,462.1,500.0
545.7,713.4,616.1,572.2,600.0
528.8,630.5,589.6,596.3,600.0
493.9,532.3,546.1,480.1,380.0
493.7,562.3,531.0,524.9,600.0
449.9,509.5,592.6,526.4,360.0
447.8,424.7,431.2,573.1,460.0
561.7,668.4,641.1,476.3,940.0
492.5,422.0,475.7,430.2,360.0
413.8,611.2,541.4,613.4,620.0
619.3,680.2,651.5,497.5,400.0
518.2,518.8,477.4,543.2,500.0
477.6,536.4,475.1,421.0,540.0
432.4,549.5,481.1,587.0,560.0
643.4,655.8,612.4,777.3,640.0
509.2,632.3,559.3,471.9,560.0
585.9,608.0,567.3,479.5,380.0
514.9,485.5,462.0,441.8,600.0
515.6,450.5,527.4,584.1,880.0
607.4,643.6,660.0,698.9,700.0
433.6,524.8,534.3,509.8,360.0
553.1,658.6,604.0,688.7,560.0
374.0,581.3,518.8,448.9,580.0
533.0,646.9,590.3,624.0,540.0
546.1,467.9,364.7,463.3,400.0
414.6,600.4,547.4,449.4,620.0
548.3,626.1,605.8,649.0,360.0
376.1,460.1,449.9,495.2,320.0
447.0,520.9,493.9,412.6,280.0
553.3,628.5,495.3,511.8,360.0
409.8,425.9,495.2,459.2,280.0
521.3,570.7,492.7,392.0,500.0
525.1,639.0,560.5,629.9,840.0
518.5,595.8,539.1,528.2,480.0
510.6,632.5,463.9,477.4,560.0
454.0,474.4,513.4,704.1,420.0
413.1,622.6,581.6,526.4,420.0
522.2,648.8,657.2,658.4,600.0
419.9,504.5,397.0,511.8,560.0
394.7,463.1,476.8,584.7,360.0
416.8,569.6,464.2,493.5,340.0
506.3,527.0,472.6,446.9,360.0
493.0,511.6,451.3,446.4,320.0
425.7,587.4,443.5,473.0,620.0
435.0,459.7,447.7,417.6,580.0
629.3,714.2,673.7,679.8,900.0
533.8,573.8,516.8,530.3,520.0
528.0,574.3,505.3,603.1,460.0
424.4,629.8,586.4,394.8,360.0
637.1,669.7,653.7,706.1,920.0
585.7,696.3,666.2,660.8,920.0
437.6,558.8,471.8,405.2,280.0
469.7,663.7,586.3,726.8,480.0
439.7,484.1,456.4,662.1,520.0
410.2,608.7,412.7,488.3,440.0
386.5,440.5,480.3,492.8,300.0
546.0,631.0,581.6,670.2,580.0
437.2,619.3,493.0,425.4,380.0
498.4,447.5,495.5,381.2,260.0
510.9,615.5,591.4,579.3,680.0
544.2,640.0,584.9,677.9,580.0
691.8,723.4,637.5,823.1,820.0
418.3,420.4,455.2,497.9,440.0
493.2,627.1,555.9,437.7,360.0
430.2,580.8,543.9,445.2,540.0
519.7,613.2,590.4,734.3,900.0
629.3,634.4,585.3,726.6,920.0
497.0,641.7,586.8,542.1,540.0
430.9,602.7,511.5,393.1,320.0
587.9,671.6,589.2,682.9,580.0
497.1,427.9,440.0,453.0,360.0
374.2,530.2,442.7,451.2,560.0
523.6,526.4,471.4,425.6,380.0
442.3,616.5,568.6,496.6,760.0
429.2,513.0,513.2,544.1,280.0
494.0,540.9,441.4,515.6,280.0
612.4,663.7,661.6,601.3,680.0
417.1,625.3,613.2,630.7,320.0
391.7,494.0,437.0,424.3,500.0
526.5,530.6,531.7,493.3,520.0
584.8,638.7,611.4,594.2,420.0
463.2,439.4,512.8,427.4,320.0
579.0,645.4,570.1,632.7,580.0
477.6,595.9,499.4,513.7,320.0
388.1,454.3,465.2,482.5,300.0
482.0,580.0,481.2,446.8,360.0
469.2,473.9,451.7,467.0,320.0
437.3,636.1,591.0,449.6,520.0
543.1,641.3,549.0,612.4,360.0
434.1,611.8,549.0,499.5,320.0
573.4,633.7,601.9,530.3,600.0
441.2,574.0,550.3,436.6,800.0
551.0,614.4,586.4,616.5,620.0
453.7,466.1,399.4,419.9,0.0
427.8,508.7,419.0,375.5,0.0
618.1,679.7,609.2,759.5,620.0
548.9,601.5,530.0,596.4,600.0
498.7,543.5,484.9,585.3,360.0
541.0,553.3,481.6,381.4,460.0
388.6,492.2,465.1,435.2,360.0
451.6,630.7,588.2,663.7,620.0
443.7,633.9,501.6,731.3,560.0
521.8,495.7,566.4,677.4,520.0
549.1,640.0,565.9,604.1,540.0
422.3,550.2,443.4,652.1,360.0
599.4,666.7,674.7,609.4,720.0
551.2,555.8,566.9,653.2,400.0
579.8,679.9,620.6,712.0,920.0
453.8,445.3,390.7,436.6,480.0
511.1,492.5,396.9,550.8,720.0
544.1,622.0,545.5,570.8,360.0
402.2,555.3,384.4,526.4,460.0
467.5,561.9,585.5,400.7,480.0
465.2,570.8,464.1,520.6,540.0
435.2,465.4,422.1,408.4,0.0
493.9,620.1,582.2,535.1,400.0
415.6,593.7,595.9,467.7,720.0
400.4,548.3,389.1,528.2,300.0
604.8,660.3,634.0,578.7,720.0
494.0,651.9,585.6,526.0,540.0
452.1,605.4,554.1,461.6,500.0
607.9,642.8,572.5,636.9,360.0
423.6,430.7,492.3,384.6,0.0
397.3,506.7,398.9,392.0,320.0
465.5,606.0,527.7,425.4,460.0
560.0,664.6,617.5,426.9,600.0
567.8,571.2,544.5,728.8,620.0
414.7,594.7,603.6,506.2,600.0
460.6,575.5,557.6,473.1,720.0
436.8,536.6,519.1,540.9,560.0
440.3,605.8,500.3,561.2,640.0
441.6,523.3,561.7,449.1,340.0
469.8,598.7,487.0,593.4,480.0
509.5,705.0,637.3,655.5,920.0
457.7,616.9,561.1,616.0,460.0
560.2,635.2,542.4,555.9,620.0
509.2,615.1,580.7,552.3,640.0
426.5,466.1,437.7,429.5,360.0
429.8,399.5,401.2,432.9,480.0
426.1,596.3,544.4,496.4,340.0
620.7,634.1,637.5,605.7,700.0
478.9,516.6,382.5,386.8,320.0
367.7,408.6,445.0,410.0,340.0
451.0,595.6,499.8,578.5,320.0
398.3,608.9,533.0,510.2,760.0
493.3,496.4,462.9,534.6,700.0
424.2,641.0,583.5,487.0,720.0
392.1,556.4,495.4,485.3,340.0
449.7,595.3,513.2,568.5,620.0
494.8,510.8,539.2,663.4,380.0
444.8,536.1,508.3,563.9,540.0
652.3,701.1,691.3,776.8,780.0
540.1,480.4,430.7,413.0,440.0
543.6,503.2,462.8,454.7,620.0
680.4,688.9,623.6,688.8,820.0
510.7,485.7,526.9,494.7,620.0
505.6,456.7,495.3,398.3,540.0
420.3,479.5,491.4,450.8,320.0
541.2,632.4,561.9,658.9,520.0
525.1,604.8,557.7,422.3,340.0
443.2,623.1,557.9,446.6,640.0
526.6,551.9,529.4,462.5,400.0
554.4,454.2,492.9,451.0,500.0
448.0,644.8,520.7,687.6,320.0
414.5,428.7,493.4,464.1,360.0
398.5,472.0,447.2,546.2,320.0
468.3,568.5,395.7,456.7,480.0
595.9,654.5,610.3,590.0,580.0
434.7,645.1,593.8,523.4,680.0
543.3,620.5,584.7,457.0,760.0
614.5,434.4,503.5,492.8,740.0
523.9,603.6,518.5,583.3,0.0
468.1,590.2,506.8,572.6,620.0
404.0,514.8,475.5,461.1,400.0
479.0,640.6,574.3,572.8,440.0
538.5,506.4,523.6,516.4,820.0
520.8,515.4,469.7,387.3,560.0
514.6,652.1,632.0,622.3,620.0
445.2,453.2,423.5,440.9,520.0
489.8,576.3,562.3,442.3,360.0
496.1,582.3,522.5,529.3,660.0
477.7,616.7,533.4,493.9,700.0
430.0,605.7,534.3,543.1,580.0
473.8,600.9,543.5,499.2,520.0
429.8,590.8,547.8,621.2,600.0
554.5,630.9,579.0,496.8,700.0
447.4,405.4,339.8,510.6,240.0
393.8,538.4,371.2,485.5,400.0
472.1,435.5,487.9,383.1,440.0
457.3,589.4,504.1,448.7,400.0
551.3,649.4,570.1,470.7,700.0
470.8,653.0,582.4,434.1,360.0
569.4,624.8,613.4,554.6,700.0
527.5,620.7,580.9,436.3,680.0
641.3,590.4,522.8,534.9,440.0
508.2,596.9,574.3,556.9,460.0
388.6,451.7,496.4,401.7,400.0
594.3,671.7,653.9,681.6,680.0
369.6,563.7,555.5,488.8,440.0
467.4,535.2,556.9,448.9,320.0
503.0,495.1,502.2,516.3,320.0
622.4,664.9,592.0,708.3,600.0
457.3,562.8,499.9,435.9,340.0
451.1,432.8,405.8,432.4,360.0
382.1,578.5,452.2,493.0,300.0
550.4,646.4,586.6,579.6,620.0
430.9,547.3,544.0,479.4,320.0
496.6,581.8,580.3,588.5,540.0
441.2,571.8,486.9,399.6,340.0
448.6,541.6,429.7,432.9,320.0
500.1,561.9,552.1,530.4,540.0
373.7,559.3,536.9,445.7,400.0
462.2,577.1,534.4,533.3,560.0
374.6,458.9,453.4,441.4,320.0
636.0,676.8,601.1,729.4,660.0
467.8,474.4,537.0,425.9,320.0
643.6,731.3,574.7,672.8,560.0
470.8,585.9,514.3,644.3,360.0
545.2,475.7,516.8,532.1,260.0
531.9,652.7,558.1,624.8,540.0
599.3,658.5,630.6,503.5,560.0
477.6,554.4,488.3,439.2,320.0
450.6,629.0,570.8,472.4,320.0
536.9,605.0,522.5,455.7,560.0
451.1,622.7,535.4,501.5,560.0
417.1,419.1,387.3,413.7,280.0
431.0,520.6,507.3,677.0,460.0
534.9,465.5,413.7,494.8,200.0
434.5,450.7,387.4,391.0,0.0
596.6,640.3,588.3,527.1,600.0
553.3,615.5,484.1,427.7,380.0
461.1,571.4,436.3,392.4,480.0
674.4,678.8,646.9,727.3,920.0
474.0,547.2,457.7,511.3,500.0
570.8,594.3,623.6,538.3,680.0
628.2,687.3,618.9,594.5,820.0
422.5,572.3,529.0,638.5,560.0
501.7,536.9,421.4,502.1,560.0
440.7,484.4,460.0,417.1,400.0
486.7,637.5,545.9,623.9,620.0
454.3,555.2,578.0,429.8,380.0
561.1,631.3,568.1,714.4,860.0
449.3,415.4,376.5,507.5,300.0
422.9,404.8,474.8,383.6,480.0
496.2,528.0,480.0,569.9,560.0
537.6,593.5,538.9,562.5,300.0
516.5,510.2,484.3,452.8,300.0
464.8,591.7,539.0,571.1,380.0
610.3,662.2,582.0,624.8,520.0
427.9,536.4,572.7,619.5,720.0
529.3,598.8,567.5,486.2,580.0
379.9,515.0,339.8,406.9,320.0
501.7,585.3,507.2,418.6,380.0
531.3,572.9,517.1,589.0,380.0
448.6,513.6,495.1,427.4,0.0
575.4,629.1,581.5,676.2,740.0
638.4,690.1,628.4,623.6,680.0
573.2,613.0,564.6,513.2,780.0
430.4,408.9,533.5,427.1,360.0
532.3,616.9,590.4,497.8,320.0
609.6,676.4,654.7,455.2,800.0
552.6,598.2,565.4,620.3,760.0
399.2,502.8,391.8,454.2,0.0
556.6,643.6,567.3,533.4,600.0
453.4,469.9,496.7,434.6,540.0
555.4,555.4,483.7,564.9,360.0
533.2,727.2,611.4,565.3,840.0
552.8,677.0,576.2,662.4,800.0
485.7,462.0,497.4,490.3,620.0
406.6,481.2,462.9,430.3,280.0
669.6,711.1,644.9,737.4,780.0
473.0,469.5,464.6,430.8,280.0
561.7,629.2,504.3,495.2,580.0
475.9,503.5,438.2,600.2,540.0
467.9,467.3,429.5,529.5,440.0
540.1,466.8,567.2,625.8,680.0
422.9,483.8,395.0,383.6,320.0
475.1,621.1,601.7,547.5,540.0
547.9,664.9,628.4,688.1,680.0
544.3,594.9,588.0,472.6,460.0
436.3,488.7,454.2,518.9,500.0
501.2,530.2,558.1,599.4,740.0
416.0,457.1,361.9,391.2,400.0
460.0,622.9,534.9,456.4,360.0
428.2,440.4,490.9,511.8,300.0
567.2,575.4,530.9,467.4,700.0
499.8,561.2,492.0,454.8,600.0
426.4,558.5,448.8,522.3,580.0
484.1,454.9,425.0,416.4,440.0
495.5,533.5,468.0,464.0,260.0
530.9,619.2,531.2,581.3,540.0
513.6,604.9,571.6,438.3,620.0
561.1,661.6,631.5,553.7,560.0
475.9,594.2,557.5,447.0,560.0
524.3,586.2,567.2,422.7,320.0
510.4,627.8,543.3,433.4,520.0
389.5,494.7,487.6,397.2,500.0
665.5,675.6,635.0,661.6,900.0
413.5,485.7,489.9,381.3,360.0
426.7,425.7,465.4,382.1,440.0
557.9,523.3,501.5,388.9,440.0
506.1,632.5,536.8,475.4,520.0
649.4,681.1,633.1,723.6,660.0
381.2,620.1,489.2,401.8,400.0
484.1,427.4,507.4,397.6,340.0
442.0,525.6,450.8,534.9,320.0
471.0,520.6,530.3,427.8,320.0
554.9,591.9,577.8,552.4,540.0
593.9,633.2,621.0,684.6,740.0
560.1,624.3,621.7,612.6,580.0
421.7,574.5,365.6,437.3,320.0
639.7,646.4,614.4,683.7,440.0
472.4,631.1,575.6,623.6,600.0
417.8,452.7,503.4,393.3,700.0
463.3,429.9,555.2,378.4,0.0
457.8,571.2,563.5,460.8,600.0
565.5,632.1,562.4,575.2,360.0
635.8,676.4,634.4,681.2,480.0
625.9,692.3,681.9,726.8,700.0
544.8,477.9,524.9,662.9,860.0
498.5,560.1,593.0,600.5,680.0
434.9,643.4,532.8,681.3,440.0
394.4,405.9,394.9,396.7,0.0
648.4,667.7,656.5,696.1,800.0
451.6,619.2,579.2,478.0,560.0
468.1,630.1,599.7,701.7,660.0
527.1,602.1,533.2,556.0,320.0
436.1,605.4,533.1,559.4,600.0
400.8,600.5,538.4,532.9,600.0
489.5,565.9,509.8,493.1,600.0
681.2,680.1,630.2,763.9,720.0
417.6,548.4,525.8,457.5,340.0
506.4,631.0,579.5,525.7,520.0
406.4,549.6,416.6,384.8,400.0
429.4,603.9,555.8,437.9,600.0
441.5,627.8,599.5,464.5,500.0
431.1,601.2,510.3,498.6,560.0
459.5,492.9,509.5,514.5,320.0
527.6,479.1,436.3,618.1,360.0
423.2,539.0,506.0,564.0,700.0
426.5,513.6,405.9,441.6,480.0
542.1,567.1,596.1,506.1,340.0
404.4,491.3,465.4,486.7,540.0
425.8,541.1,558.1,632.2,820.0
511.0,429.2,522.2,535.0,500.0
515.7,591.8,625.9,610.3,580.0
606.2,609.0,528.1,477.3,400.0
526.7,598.0,513.1,748.1,460.0
547.7,613.3,421.2,418.3,560.0
429.9,602.8,510.2,504.6,460.0
649.3,676.7,602.3,675.5,580.0
577.7,536.5,428.2,546.0,460.0
471.8,607.2,547.2,543.6,480.0
388.3,459.1,502.4,514.1,340.0
461.6,519.6,530.5,475.0,600.0
465.0,496.4,426.3,370.8,360.0
396.4,553.1,381.3,488.0,440.0
454.1,493.9,526.4,383.5,360.0
428.2,578.0,507.5,555.8,320.0
422.9,585.3,499.1,533.4,740.0
561.3,688.2,575.3,699.8,520.0
509.7,609.0,466.4,519.3,380.0
480.0,531.6,551.0,599.4,340.0
561.5,631.2,609.5,665.4,580.0
434.7,424.3,608.3,629.5,660.0
507.0,554.8,599.7,584.9,680.0
495.3,622.0,499.5,415.8,540.0
465.2,456.3,377.7,439.5,300.0
535.8,630.9,586.9,523.3,480.0
